BAG-nr openbare ruimte,Straatcode,Openbare ruimtenaam BAG,Woonplaats,Type
0344300000001924,387,Al-Masoedilaan,Utrecht,Weg
0344300000003296,388,Alpenpad,Utrecht,Weg
0344300000000320,3470,Alphons Diepenbrockplein,Utrecht,Weg
0344300000002083,405,Amabilispad,De Meern,Weg
0344300000000321,410,Amaliadwarsstraat,Utrecht,Weg
0344300000002419,420,Amaliastraat,Utrecht,Weg
0344300000000322,430,Amandelstraat,Utrecht,Weg
0344300000003353,440,Amazonedreef,Utrecht,Weg
0344300000000323,450,Ambachtstraat,Utrecht,Weg
0344300000003108,17101,Ambachtsweg,Utrecht,Weg
0344300000001336,460,Ambonstraat,Utrecht,Weg
0344300000002420,463,Ameland,Utrecht,Weg
0344300000000324,465,Amerhof,Utrecht,Weg
0344300000000325,470,Amerikalaan,Utrecht,Weg
0344300000000773,11,Amerongseberg,Utrecht,Weg
0344300000000765,471,Amethistweg,Utrecht,Weg
0344300000002421,473,Amiranten,Utrecht,Weg
0344300000000326,483,Ammandreef,Utrecht,Weg
0344300000002422,490,Ampèrestraat,Utrecht,Weg
0344300000000327,500,Amstelstraat,Utrecht,Weg
0344300000003292,18701,Amsterdam-Rijnkanaal,Utrecht,Water
0344300000000328,510,Amsterdamsestraatweg,Utrecht,Weg
0344300000002423,520,Ananasstraat,Utrecht,Weg
0344300000002650,531,Anderstein,Vleuten,Weg
0344300000001288,533,Andesdreef,Utrecht,Weg
0344300000002785,16243,André Voltenlaan,Utrecht,Weg
0344300000000329,537,Andreashof,Utrecht,Weg
0344300000000330,540,Andreasstraat,Utrecht,Weg
0344300000003344,13534,Andrej Sacharowplein,Utrecht,Weg
0344300000001310,13535,Andrej Sacharowstraat,Utrecht,Weg
0344300000002424,550,Androsdreef,Utrecht,Weg
0344300000000331,560,Anemoonstraat,Utrecht,Weg
0344300000003183,17683,Angstel,De Meern,Weg
0344300000002351,565,Anijsstraat,Utrecht,Weg
0344300000000332,570,Anjelierstraat,Utrecht,Weg
0344300000002425,573,Ankaradreef,Utrecht,Weg
0344300000002606,1671,Anna Blamanstraat,Utrecht,Weg
0344300000000333,1880,Anna Boleyndreef,Utrecht,Weg
0344300000001855,17684,Anna Jacominaplaat,De Meern,Weg
0344300000001442,13900,Anna Maria van Schurmanstraat,Utrecht,Weg
0344300000003779,13586,Anna Swellengrebelhaghe,Utrecht,Weg
0344300000003792,2086,Anna van Bossehaghe,Utrecht,Weg
0344300000001668,2450,Anna van Burendreef,Utrecht,Weg
0344300000000334,13580,Anna van Saksendreef,Utrecht,Weg
0344300000002426,580,Annastraat,Utrecht,Weg
0344300000000766,590,Anne Frankplein,Utrecht,Weg
0344300000003023,13787,Annie M.G. Schmidtstraat,Utrecht,Weg
0344300000003809,13314,Annie Romeinhaghe,Utrecht,Weg
0344300000002047,13317,Annie Salomonsstraat,Utrecht,Weg
0344300000003790,5554,Annie van Hattumhaghe,Utrecht,Weg
0344300000003791,5556,Annie van Hattumkade,Utrecht,Weg
0344300000000335,600,Anthoniedijk,Utrecht,Weg
0344300000000336,635,Antillen,Utrecht,Weg
0344300000001443,640,Antilopedreef,Utrecht,Weg
0344300000002427,4880,Anton Geesinkstraat,Utrecht,Weg
0344300000003021,4882,Anton Koolhaasstraat,Utrecht,Weg
0344300000002124,12216,Anton Pieckhof,Utrecht,Weg
0344300000002614,13310,Anton Rooskenshof,Utrecht,Weg
0344300000003498,3993,Anton van Duinkerkenlaan,De Meern,Weg
0344300000003162,12286,Antoninus Pius,De Meern,Weg
0344300000001746,10415,Antonio Morohof,Vleuten,Weg
0344300000000337,9820,Antonius Matthaeuslaan,Utrecht,Weg
0344300000003354,643,Antoniushof,Utrecht,Weg
0344300000000338,645,Apennijnen,Utrecht,Weg
0344300000001337,650,Aphroditedreef,Utrecht,Weg
0344300000002428,660,Apollodreef,Utrecht,Weg
0344300000003824,669,Appaloosastraat,Utrecht,Weg
0344300000001444,670,Appelstraat,Utrecht,Weg
0344300000000339,680,Aquamarijnlaan,Utrecht,Weg
0344300000000292,4380,A.R. Falckstraat,Utrecht,Weg
0344300000001289,685,Arabelladreef,Utrecht,Weg
0344300000003184,17685,Archemerberg,De Meern,Weg
0344300000003166,19518,Archeologiepark,Utrecht,Landschappelijk gebied
0344300000001445,695,Archimedeslaan,Utrecht,Weg
0344300000001766,19069,Archimedesviaduct,Utrecht,Kunstwerk
0344300000000340,697,Ardennen,Utrecht,Weg
0344300000001649,707,Argentiniëdreef,Utrecht,Weg
0344300000002429,710,Argonautendreef,Utrecht,Weg
0344300000001840,715,Argusvlinder,Utrecht,Weg
0344300000000341,720,Ariadnedreef,Utrecht,Weg
0344300000002430,730,Ariënslaan,Utrecht,Weg
0344300000000342,740,Arizonadreef,Utrecht,Weg
0344300000000343,750,Arkansasdreef,Utrecht,Weg
0344300000001415,765,Arkenspoort,Utrecht,Weg
0344300000001856,17686,Arne,De Meern,Weg
0344300000000344,770,Arnodreef,Utrecht,Weg
0344300000001258,13330,Arnoldus Rotterdamstraat,Utrecht,Weg
0344300000003482,14885,Arthur Sullivanhof,Utrecht,Weg
0344300000001261,13705,Arthur van Schendelstraat,Utrecht,Weg
0344300000002431,797,Arubadreef,Utrecht,Weg
0344300000003579,820,Asselijnstraat,Utrecht,Weg
0344300000000345,830,Asserlaan,Utrecht,Weg
0344300000002432,840,Asterstraat,Utrecht,Weg
0344300000002304,842,Atalantahof,Utrecht,Weg
0344300000003880,25042,Athenestraat,Utrecht,Weg
0344300000001338,870,Atlasdreef,Utrecht,Weg
0344300000000346,880,Atoomweg,Utrecht,Weg
0344300000000347,890,Attleeplantsoen,Utrecht,Weg
0344300000002433,897,Aucklands,Utrecht,Weg
0344300000001397,13601,Augusto Sandinostraat,Utrecht,Weg
0344300000001797,905,Augustusweg,De Meern,Weg
0344300000003170,898,Aureliahof,Utrecht,Weg
