BAG-nr openbare ruimte,Straatcode,Openbare ruimtenaam BAG,Woonplaats,Type
0344300000000198,10913,Florence Nightingalelaan,Utrecht,Weg
0344300000003373,4485,Floresstraat,Utrecht,Weg
0344300000000199,4490,Floridadreef,Utrecht,Weg
0344300000001729,18520,Floris Heermalebrug,Utrecht,Kunstwerk
0344300000002939,5660,Floris Heermalestraat,Utrecht,Weg
0344300000000200,4510,Fockstraat,Utrecht,Weg
0344300000003011,4525,Foelieweg,Utrecht,Weg
0344300000001868,17721,Föhn,De Meern,Weg
0344300000000201,4546,Forelstraat,Utrecht,Weg
0344300000000202,4550,Forstmanstraat,Utrecht,Weg
0344300000000203,4560,Fortlaan,Utrecht,Weg
0344300000002872,4570,Fortunadreef,Utrecht,Weg
0344300000000204,4575,Fortweg,Utrecht,Weg
0344300000000205,4580,Framboosstraat,Utrecht,Weg
0344300000003574,4590,Franciscusdreef,Utrecht,Weg
0344300000002873,4600,Franklinstraat,Utrecht,Weg
0344300000000206,5390,Frans Halsstraat,Utrecht,Weg
0344300000000207,4610,Fransestraat,Utrecht,Weg
0344300000001978,4615,Fransetuinlaan,Vleuten,Weg
0344300000002389,8760,Franz Lehársingel,Utrecht,Weg
0344300000001262,13880,Franz Schubertstraat,Utrecht,Weg
0344300000002391,14895,Franz von Suppéhof,Utrecht,Weg
0344300000001420,9115,Franz-Lisztplantsoen,Utrecht,Weg
0344300000002385,12860,Fred Raymondhof,Utrecht,Weg
0344300000003480,12861,Fred Raymondpad,Utrecht,Weg
0344300000002874,4630,Frederik Hendrikstraat,Utrecht,Weg
0344300000003527,9181,Frederik Loewestraat,Utrecht,Weg
0344300000002936,3980,Frederik van Eedenstraat,Utrecht,Weg
0344300000002104,17912,Frederik van Eedenstraat,Vleuten,Weg
0344300000001482,4620,Frederikastraat,Utrecht,Weg
0344300000000208,4640,Fregatstraat,Utrecht,Weg
0344300000000209,2935,Frits Coerslaan,Utrecht,Weg
0344300000003478,8148,Fritz Kreislerhof,Utrecht,Weg
0344300000003683,4655,Frontoweg,De Meern,Weg
0344300000001351,4660,Fruinplantsoen,Utrecht,Weg
0344300000001483,4670,Fruitstraat,Utrecht,Weg
0344300000000210,4690,Fultonstraat,Utrecht,Weg
0344300000002875,4695,Furkabaan,Utrecht,Weg
0344300000000211,4696,Furkaplateau,Utrecht,Weg
0344300000003838,25001,Furkatunnel,Utrecht,Kunstwerk
0344300000000212,4697,Fuuthof,Utrecht,Weg
0344300000001869,17722,Gaag,De Meern,Weg
0344300000001730,18521,Gaardbrug,Utrecht,Kunstwerk
0344300000001484,4698,Gaasterland,Utrecht,Weg
0344300000002876,10077,Gabriël Metsustraat,Utrecht,Weg
0344300000000213,4700,Gabriëllaan,Utrecht,Weg
0344300000001485,4710,Gageldijk,Utrecht,Weg
0344300000000214,4717,Galápagos,Utrecht,Weg
0344300000003445,18522,Galecopperbrug,Utrecht,Kunstwerk
0344300000002877,4730,Galeslootstraat,Utrecht,Weg
0344300000002190,4732,Galgenraklaan,Utrecht,Weg
0344300000001230,4734,Galgenwaardsepad,Utrecht,Weg
0344300000003639,4738,Galileïlaan,Utrecht,Weg
0344300000000215,4740,Galjoenstraat,Utrecht,Weg
0344300000000216,4750,Galvanistraat,Utrecht,Weg
0344300000003317,4760,Gambiadreef,Utrecht,Weg
0344300000001486,4765,Gandhidreef,Utrecht,Weg
0344300000002144,4770,Gandhiplein,Utrecht,Weg
0344300000003265,4780,Gangesdreef,Utrecht,Weg
0344300000001083,4790,Gansenhoeflaan,Utrecht,Weg
0344300000001084,4800,Gansstraat,Utrecht,Weg
0344300000002310,17723,Ganzenhoedsterlaan,De Meern,Weg
0344300000003266,4810,Ganzenmarkt,Utrecht,Weg
0344300000003497,14858,Garmt Stuivelingsingel,De Meern,Weg
0344300000001136,18523,Gasthuismolenbrug,Utrecht,Kunstwerk
0344300000001085,4830,Gasthuisstraat,Utrecht,Weg
0344300000001086,4835,Gazellestraat,Utrecht,Weg
0344300000002598,4836,Geallieerdenlaan,Utrecht,Weg
0344300000003009,4845,Geelwortelweg,Utrecht,Weg
0344300000003267,4850,Geertebolwerk,Utrecht,Weg
0344300000003418,18524,Geertebrug,Utrecht,Kunstwerk
0344300000001087,4860,Geertekerkhof,Utrecht,Weg
0344300000001088,4870,Geertestraat,Utrecht,Weg
0344300000001954,9065,Gees Linnebankplantsoen,Utrecht,Landschappelijk gebied
0344300000003192,17724,Geeuw,De Meern,Weg
0344300000001419,4883,Geinplantsoen,Utrecht,Weg
0344300000003268,4885,Gelderlantlaan,Utrecht,Weg
0344300000001870,17726,Gelderpolder,De Meern,Weg
0344300000001771,4892,Gele Irislaan,Vleuten,Weg
0344300000001089,4890,Geleenstraat,Utrecht,Weg
0344300000003661,4893,Gemberweg,Utrecht,Weg
0344300000001090,4895,Gemsstraat,Utrecht,Weg
0344300000001757,4475,Generalperenlaan,Vleuten,Weg
0344300000003269,4900,Genèvelaan,Utrecht,Weg
0344300000003493,4905,Genialisweg,De Meern,Weg
0344300000003533,6891,Georg Jarnostraat,Utrecht,Weg
0344300000002600,2936,George Cohanhof,Utrecht,Weg
0344300000003159,2215,Georges Braquehof,Utrecht,Weg
0344300000001091,4920,Geraniumstraat,Utrecht,Weg
0344300000002635,2155,Gerard den Brabanderlaan,De Meern,Weg
0344300000001092,3760,Gerard Doustraat,Utrecht,Weg
0344300000001487,10970,Gerard Noodtstraat,Utrecht,Weg
0344300000002607,13021,Gerard Revestraat,Utrecht,Weg
0344300000003270,4923,Gerbrandystraat,Utrecht,Weg
0344300000002734,4932,Gerhardstraat,Utrecht,Weg
0344300000003161,4936,Germanicusweg,De Meern,Weg
0344300000001093,4950,Gerretsonlaan,Utrecht,Weg
0344300000002721,135,Gerrit Achterberglaan,De Meern,Weg
0344300000001094,13143,Gerrit Rietveldhof,Utrecht,Weg
0344300000001488,4960,Gershwinlaan,Utrecht,Weg
0344300000003118,17074,Gessel,De Meern,Weg
0344300000003271,4970,Geulstraat,Utrecht,Weg
0344300000002157,4978,Geuzenplantsoen,Utrecht,Weg
0344300000001095,4980,Geuzenstraat,Utrecht,Weg
0344300000001352,4990,Ghanadreef,Utrecht,Weg
0344300000001489,4992,Giessenplein,Utrecht,Weg
0344300000000381,4994,Gietershof,Utrecht,Weg
0344300000001096,4997,Gietijzerstraat,Utrecht,Weg
0344300000001280,16530,Gijsbrecht van Walenborchstraat,Utrecht,Weg
0344300000001137,18525,Gildbrug,Utrecht,Kunstwerk
0344300000003272,4999,Gildenkwartier,Utrecht,Weg
0344300000001416,12,Gildentraverse,Utrecht,Weg
0344300000001490,5000,Gildstraat,Utrecht,Weg
0344300000001097,5020,Giraffedreef,Utrecht,Weg
0344300000001665,2355,Gisbert Bromlaan,Utrecht,Weg
0344300000002014,5026,Glastuinbouwsingel,Utrecht,Weg
0344300000003193,17727,Glazenierslaan,De Meern,Weg
0344300000003508,10141,Glenn Millerpad,Utrecht,Weg
0344300000002069,5021,Globebloemlaan,Vleuten,Weg
0344300000001491,5025,Gloriantdreef,Utrecht,Weg
0344300000003616,5027,Godebaldkwartier,Utrecht,Weg
0344300000002039,5028,Godfried Bomansstraat,Utrecht,Weg
0344300000003273,5030,Goedestraat,Utrecht,Weg
0344300000003337,5040,Goeman Borgesiuslaan,Utrecht,Weg
0344300000001098,5047,Goeree,Utrecht,Weg
0344300000001138,18526,Goethebrug,Utrecht,Kunstwerk
0344300000001099,5060,Goethelaan,Utrecht,Weg
0344300000002368,19060,Gooisebrug,De Meern,Kunstwerk
0344300000003544,5066,Gouden Koetslaan,Vleuten,Weg
0344300000002158,5068,Gouderaklaan,Utrecht,Weg
0344300000003274,5070,Goudesteinlaan,Utrecht,Weg
0344300000001100,5080,Goudsbloemstraat,Utrecht,Weg
0344300000003032,17728,Gouvernantelaan,De Meern,Weg
0344300000001101,5090,Gouwestraat,Utrecht,Weg
0344300000003275,4480,Govert Flinckstraat,Utrecht,Weg
0344300000001102,5110,Graadt van Roggenweg,Utrecht,Weg
0344300000001645,5120,Graaf Adolfstraat,Utrecht,Weg
0344300000001103,5125,Graafschap,Utrecht,Weg
0344300000001104,5130,Graanstraat,Utrecht,Weg
0344300000003276,5140,Grasstraat,Utrecht,Weg
0344300000002758,5142,Grauwaartsingel,Utrecht,Weg
0344300000001916,18641,Grauwaartviaduct,Utrecht,Kunstwerk
0344300000001105,5160,Grave van Solmsstraat,Utrecht,Weg
0344300000001221,5147,Gravelpad,Utrecht,Weg
0344300000003277,5170,Grebbeberglaan,Utrecht,Weg
0344300000001492,5180,Grebbestraat,Utrecht,Weg
0344300000001106,5183,Grenadadreef,Utrecht,Weg
0344300000001107,5185,Gresnigtstraat,Utrecht,Weg
0344300000001493,5190,Grevelingenstraat,Utrecht,Weg
0344300000002248,17913,Griendhoeve,Vleuten,Weg
0344300000001140,18528,Grietbrug,Utrecht,Kunstwerk
0344300000002191,5198,Grietmansraklaan,Utrecht,Weg
0344300000001108,5200,Grietstraat,Utrecht,Weg
0344300000003278,5205,Griffioenlaan,Utrecht,Weg
0344300000003419,18529,Griftbrug,Utrecht,Kunstwerk
0344300000001109,5207,Grifthoek,Utrecht,Weg
0344300000003318,5210,Griftkade,Utrecht,Weg
0344300000001401,18203,Griftpark,Utrecht,Landschappelijk gebied
0344300000001110,5220,Griftstraat,Utrecht,Weg
0344300000001494,5290,Groen van Prinstererstraat,Utrecht,Weg
0344300000003545,5447,Groene Draecklaan,Vleuten,Weg
0344300000002738,5446,Groene Draecksingel,Vleuten,Weg
0344300000003407,5241,Groenedijk,De Meern,Weg
0344300000001295,5240,Groenedijk,Utrecht,Weg
0344300000003279,5250,Groenendaalstraat,Utrecht,Weg
0344300000001111,5260,Groenestraat,Utrecht,Weg
0344300000001112,5270,Groeneweg,Utrecht,Weg
0344300000001113,5280,Groenewoudsedijk,Utrecht,Weg
0344300000001749,5285,Groenmarktstraat,Utrecht,Weg
0344300000003687,19512,Groot Zandveld,Utrecht,Landschappelijk gebied
0344300000001871,17730,Groote Waard,De Meern,Weg
0344300000002582,5305,Grootmeesterplein,Utrecht,Weg
0344300000002996,5325,Grotelseboslaan,Vleuten,Weg
0344300000001495,5320,Grote-Trekdreef,Utrecht,Weg
0344300000002249,17914,Gruppelboomgaard,Vleuten,Weg
0344300000003280,5330,Gruttersdijk,Utrecht,Weg
0344300000001114,5335,Gruttershof,Utrecht,Weg
0344300000001115,5340,Gruttostraat,Utrecht,Weg
0344300000003281,5343,Guatemaladreef,Utrecht,Weg
0344300000003087,17915,Gulden Hoeve,Vleuten,Weg
0344300000001872,17731,Gulperberg,De Meern,Weg
0344300000001116,9520,Gustav Mahlerstraat,Utrecht,Weg
0344300000002042,9525,Guus Vleugelplantsoen,Utrecht,Weg
0344300000001117,5345,Guyanadreef,Utrecht,Weg
0344300000003282,3000,H. Copijnlaan,Utrecht,Weg
0344300000001678,3450,H. Diemerstraat,Utrecht,Weg
0344300000001694,17230,H. Wijnmalenstraat,Utrecht,Weg
0344300000003283,5350,Haagstraat,Utrecht,Weg
0344300000003149,5352,Haagwindelaan,Vleuten,Weg
0344300000002306,17017,Haarlaan,Haarzuilens,Weg
0344300000001121,5360,Haarlemmerhoutdreef,Utrecht,Weg
0344300000003194,17732,Haarlerberg,De Meern,Weg
0344300000001122,5370,Haarmansstraat,Utrecht,Weg
0344300000003417,5373,Haarpad,Haarzuilens,Weg
0344300000002250,17916,Haarpad,Vleuten,Weg
0344300000002365,18746,Haarrijn,Haarzuilens,Water
0344300000002709,5376,Haarrijnse Rading,Vleuten,Weg
0344300000003694,5375,Haarrijnse Rading,Utrecht,Weg
0344300000002367,18757,Haarrijnseplas,Haarzuilens,Water
0344300000000783,2131,Habib Bourguibastraat,Utrecht,Weg
0344300000003822,5378,Haflingerstraat,Utrecht,Weg
0344300000001834,5377,Hageheldhof,Utrecht,Weg
0344300000003284,5386,Haifadreef,Utrecht,Weg
0344300000001131,5387,Haïtidreef,Utrecht,Weg
0344300000001496,5388,Halmaherastraat,Utrecht,Weg
0344300000001123,5400,Hamakerlaan,Utrecht,Weg
0344300000001141,18530,Hamburgerbrug,Utrecht,Kunstwerk
0344300000003285,5410,Hamburgerstraat,Utrecht,Weg
0344300000002251,17917,Hamlaan,Vleuten,Weg
0344300000001124,5420,Hammarskjöldhof,Utrecht,Weg
0344300000001497,5430,Hamsteeg,Utrecht,Weg
0344300000000489,5440,Händelstraat,Utrecht,Weg
0344300000002705,5442,Hanekampstraat,Vleuten,Weg
0344300000001125,5445,Hanengeschrei,Utrecht,Weg
0344300000003773,13654,Hannie Schafthaghe,Utrecht,Weg
0344300000003805,13653,Hannie Schaftsingel,Utrecht,Weg
0344300000003617,5450,Hannolaan,Utrecht,Weg
0344300000001498,5453,Hanoidreef,Utrecht,Weg
0344300000003286,5460,Hanrathstraat,Utrecht,Weg
0344300000002634,9141,Hans Lodeizenlaan,De Meern,Weg
0344300000001296,5470,Hardebollenstraat,Utrecht,Weg
0344300000002756,5471,Hardenbroek,Vleuten,Weg
0344300000001499,5500,Harnaslaan,Utrecht,Weg
0344300000003758,5389,Haroekoeplein,Utrecht,Weg
0344300000001126,5510,Harpstraat,Utrecht,Weg
0344300000003522,1101,Harry Banninkstraat,Utrecht,Weg
0344300000001127,5520,Harteveldlaan,Utrecht,Weg
0344300000003287,5530,Hartingstraat,Utrecht,Weg
0344300000000772,5533,Hartogstraat,Utrecht,Weg
0344300000000878,5535,Hartsteeg thans Loeff Berchmakerstraat,Utrecht,Weg
0344300000001500,5540,Harvardlaan,Utrecht,Weg
0344300000001353,5545,Harz,Utrecht,Weg
0344300000001128,5550,Hasebroekstraat,Utrecht,Weg
0344300000001129,5557,Havanadreef,Utrecht,Weg
0344300000001501,5560,Havenweg,Utrecht,Weg
0344300000003288,5580,Haverstraat,Utrecht,Weg
0344300000001142,18531,Havikbrug,Utrecht,Kunstwerk
0344300000001130,5590,Havikstraat,Utrecht,Weg
0344300000002328,17918,Hazenhof,Vleuten,Weg
0344300000003289,5615,Hebriden,Utrecht,Weg
0344300000001132,5630,Heemskerkstraat,Utrecht,Weg
0344300000002782,5645,Heemstedelaan,Utrecht,Weg
0344300000001970,5655,Heemtuinlaan,Vleuten,Weg
0344300000002311,17733,Heenplaat,De Meern,Weg
0344300000003180,17018,Heggestraat,Haarzuilens,Weg
0344300000003308,5670,Heidelberglaan,Utrecht,Weg
0344300000002646,5671,Heidestein,Vleuten,Weg
0344300000002647,5673,Heidesteinhof,Vleuten,Weg
0344300000003506,5672,Heidesteinplaats,Vleuten,Weg
0344300000001971,5669,Heidetuinlaan,Vleuten,Weg
0344300000003472,18747,Heijcopper middelwetering,Utrecht,Water
0344300000002375,18748,Heijcopper wetering,De Meern,Water
0344300000003387,5926,Heijcopperkade,Utrecht,Weg
0344300000001429,5927,Heijcopperkade,De Meern,Weg
0344300000003290,5950,Heijermansstraat,Utrecht,Weg
0344300000002392,1495,Heinrich Bertéstraat,Utrecht,Weg
0344300000003088,17919,Heinstmaat,Vleuten,Weg
0344300000003175,5678,Heivlinder,Utrecht,Weg
0344300000001133,5680,Hekelsteeg,Utrecht,Weg
0344300000003645,5685,Hekmeijerstraat,Utrecht,Weg
0344300000001873,17735,Heksenberg,De Meern,Weg
0344300000001354,5690,Hektordreef,Utrecht,Weg
0344300000002302,17075,Heldammersingel,De Meern,Weg
0344300000002252,17920,Helenahoeve,Vleuten,Weg
0344300000002584,14914,Hélène Swarthplantsoen,De Meern,Weg
0344300000002146,5695,Hellendoornseberg,Utrecht,Weg
0344300000001134,5700,Helling,Utrecht,Weg
0344300000002064,5725,Helmbloemlaan,Vleuten,Weg
0344300000002334,17039,Helmkruid,De Meern,Weg
0344300000003291,5720,Helmstraat,Utrecht,Weg
0344300000001135,5727,Helsinkilaan,Utrecht,Weg
0344300000000444,5735,Hemdsmouwsteeg,Utrecht,Weg
0344300000002951,17736,Hemelseberg,De Meern,Weg
0344300000001874,17737,Hemelvuur,De Meern,Weg
0344300000001502,7470,Hendrick de Keyserstraat,Utrecht,Weg
0344300000002180,19055,Hendrik Andriessenbrug,Utrecht,Kunstwerk
0344300000003499,9765,Hendrik Marsmanlaan,De Meern,Weg
0344300000001271,15330,Hendrik Tollensstraat,Utrecht,Weg
0344300000002123,16745,Hendrik Werkmanhof,Utrecht,Weg
0344300000000445,15640,Hendrika van Tussenbroeklaan,Utrecht,Weg
0344300000000446,15670,Hendrika van Tussenbroekplantsoen,Utrecht,Weg
0344300000000447,5737,Henegouwen,Utrecht,Weg
0344300000000448,5740,Hengeveldstraat,Utrecht,Weg
0344300000001503,5750,Hennepstraat,Utrecht,Weg
0344300000001841,19059,Hennie Oliemullerbrug,Utrecht,Kunstwerk
0344300000002699,19524,Henny Knipschildplantsoen,Utrecht,Landschappelijk gebied
0344300000003039,17921,Henri Dunantlaan,Vleuten,Weg
0344300000000768,3900,Henri Dunantplein,Utrecht,Weg
0344300000003160,9812,Henri Matissehof,Utrecht,Weg
0344300000000779,13271,Henriëtte Roland Holststraat,Utrecht,Weg
0344300000000449,5760,Henriëttedreef,Utrecht,Weg
0344300000000450,5770,Heradreef,Utrecht,Weg
0344300000003583,5780,Herautsingel,Utrecht,Weg
0344300000001737,7254,Herbert Kawanstraat,Utrecht,Weg
0344300000001143,18532,Herculesbrug,Utrecht,Kunstwerk
0344300000001504,5790,Herculeslaan,Utrecht,Weg
0344300000000451,5793,Herculesplein,Utrecht,Weg
0344300000000452,5800,Herderlaan,Utrecht,Weg
0344300000003319,5810,Herderplein,Utrecht,Weg
0344300000003420,18533,Herenbrug,Utrecht,Kunstwerk
0344300000001505,5820,Herenstraat,Utrecht,Weg
0344300000000453,5830,Herenweg,Utrecht,Weg
0344300000001875,17738,Herfst,De Meern,Weg
0344300000001984,17734,Herfsttuinlaan,Vleuten,Weg
0344300000000454,5840,Heringastraat,Utrecht,Weg
0344300000003020,10245,Herman de Manstraat,Utrecht,Weg
0344300000001643,17,Herman Gorterstraat,Utrecht,Weg
0344300000002354,17922,Herman Heijermansstraat,Vleuten,Weg
0344300000000455,10250,Herman Modedstraat,Utrecht,Weg
0344300000001506,13560,Herman Saftlevenstraat,Utrecht,Weg
0344300000000456,4110,Hermannus Elconiusstraat,Utrecht,Weg
0344300000002724,5841,Hermelijnvlinderdijk,Utrecht,Weg
0344300000000457,5850,Hermesdreef,Utrecht,Weg
0344300000000458,5860,Herodotuslaan,Utrecht,Weg
0344300000000459,5868,Hertehof,Utrecht,Weg
0344300000000460,5870,Hertestraat,Utrecht,Weg
0344300000002603,5871,Hertogswetering,Utrecht,Weg
0344300000002714,5881,Hervéstraat,Utrecht,Weg
0344300000002742,5674,Het Heihuis,Vleuten,Weg
0344300000001222,6100,Het hoge bospad,Utrecht,Weg
0344300000002329,17923,Het Leiwerk,Vleuten,Weg
0344300000002999,9083,Het Lint - De Meern,De Meern,Weg
0344300000003400,9086,Het Lint - De Meern,Vleuten,Weg
0344300000002006,9082,Het Lint - Het Zand,Vleuten,Weg
0344300000003390,9087,Het Lint - Het Zand,Utrecht,Weg
0344300000003389,9088,Het Lint - Terwijde,Utrecht,Weg
0344300000002005,9081,Het Lint - Terwijde,Vleuten,Weg
0344300000002007,9085,Het Lint - Vleuten,Vleuten,Weg
0344300000003660,9084,Het Lint - Vleuterweide,Vleuten,Weg
0344300000003842,25009,Het Lint- Hoge Woerd,De Meern,Weg
0344300000002003,5877,Heumenseboslaan,Vleuten,Weg
0344300000000461,5910,Heuveloord,Utrecht,Weg
0344300000001750,5928,Heycopplantsoen,Utrecht,Weg
0344300000003146,5929,Heycopplein,Utrecht,Weg
0344300000000462,5930,Heycopstraat,Utrecht,Weg
0344300000001118,13110,H.F. van Riellaan,Utrecht,Weg
0344300000000463,5960,Hieronymusplantsoen,Utrecht,Weg
0344300000000464,6560,Hijmans van den Berghlaan,Utrecht,Weg
0344300000000465,5970,Hildebranddreef,Utrecht,Weg
0344300000001297,5971,Himalaya,Utrecht,Weg
0344300000003089,17924,Hindersteinlaan,Vleuten,Weg
0344300000003701,17925,Hindersteinpassage,Vleuten,Weg
0344300000002471,5973,Hispanioladreef,Utrecht,Weg
0344300000001119,13760,H.J. Schimmelplein,Utrecht,Weg
0344300000001120,13770,H.J. Schimmelstraat,Utrecht,Weg
0344300000000466,5980,Hobbemastraat,Utrecht,Weg
0344300000000467,5987,Hoefijzerstraat,Utrecht,Weg
0344300000000468,5983,Hoefsmederijpad,Utrecht,Weg
0344300000003374,5985,Hoefsmederijstraat,Utrecht,Weg
0344300000002997,5991,Hoekelumseboslaan,Vleuten,Weg
0344300000002472,6020,Hoendiepstraat,Utrecht,Weg
0344300000003399,6089,Hof ter Weydeweg,Vleuten,Weg
0344300000000469,6090,Hof ter Weydeweg,Utrecht,Weg
0344300000001899,6092,Hof van Amsterdam,Utrecht,Weg
0344300000001904,6094,Hof van Bern,Utrecht,Weg
0344300000001894,6091,Hof van Helsinki,Utrecht,Weg
0344300000001914,6095,Hof van Monaco,Utrecht,Weg
0344300000001826,6093,Hof van St.-Jan,Utrecht,Weg
0344300000001920,6096,Hof van Transwijk,Utrecht,Weg
0344300000002764,6062,Hofburcht,Vleuten,Weg
0344300000002253,17926,Hofland,Vleuten,Weg
0344300000002291,17739,Hofmansplaat,De Meern,Weg
0344300000000470,6050,Hofnarlaan,Utrecht,Weg
0344300000002473,6060,Hofpoort,Utrecht,Weg
0344300000001507,6080,Hofstraat,Utrecht,Weg
0344300000003841,25008,Hoge Woerdplein,De Meern,Weg
0344300000000471,6110,Hogelanden W.Z.,Utrecht,Weg
0344300000001402,18204,Hogelandse Park,Utrecht,Landschappelijk gebied
0344300000002474,6130,Hogenhorstdreef,Utrecht,Weg
0344300000003640,6140,Hogenoord,Utrecht,Weg
0344300000000472,6150,Hogeweide,Utrecht,Weg
0344300000002035,6151,Hogeweidebaan,Utrecht,Weg
0344300000002181,19056,Hogeweidebrug,Utrecht,Kunstwerk
0344300000003017,6152,Hogeweidevallei,Utrecht,Weg
0344300000002312,17740,Hogewoerd,De Meern,Weg
0344300000003864,25027,Hollaertpromenade,Haarzuilens,Weg
0344300000003716,6165,Hollandse Toren,Utrecht,Weg
0344300000001298,6170,Hollantlaan,Utrecht,Weg
0344300000000774,6175,Holterberg,Utrecht,Weg
0344300000003375,6180,Homeruslaan,Utrecht,Weg
0344300000001144,18534,Hommelbrug,Utrecht,Kunstwerk
0344300000001819,6183,Hondiuslaan,Utrecht,Weg
0344300000001355,6185,Hondsrug,Utrecht,Weg
0344300000000473,6187,Hondurasdreef,Utrecht,Weg
0344300000000474,6195,Hongkongdreef,Utrecht,Weg
0344300000001948,6189,Honingzwam,Vleuten,Weg
0344300000002092,17741,Honswijkpolder,De Meern,Weg
0344300000002475,6200,Hoofddijk,Utrecht,Weg
0344300000001508,6210,Hooft Graaflandstraat,Utrecht,Weg
0344300000003767,2721,Hoog Catharijnepassage,Utrecht,Weg
0344300000001636,6225,Hooghiemstraplein,Utrecht,Weg
0344300000003584,6250,Hoogravenseweg,Utrecht,Weg
0344300000002476,6260,Hoogstraat,Utrecht,Weg
0344300000000475,6270,Hoogt,Utrecht,Weg
0344300000001780,6205,Hooivlinder,Utrecht,Weg
0344300000002680,6295,Hoornbloemlaan,Vleuten,Weg
0344300000000476,6300,Hopakker,Utrecht,Weg
0344300000002477,6310,Horatiuslaan,Utrecht,Weg
0344300000002952,17742,Horizon,De Meern,Weg
0344300000000477,6320,Hortensiastraat,Utrecht,Weg
0344300000002478,6326,Houdringelaan,Utrecht,Weg
0344300000000478,6328,Houstondreef,Utrecht,Weg
0344300000003309,6330,Houtensepad,Utrecht,Weg
0344300000003668,18741,Houtrakgracht,Utrecht,Water
0344300000002159,6375,Houtrakgracht,Utrecht,Weg
0344300000003723,6376,Houtrakkade,De Meern,Weg
0344300000003722,6377,Houtrakkade,Utrecht,Weg
0344300000003113,17743,Houtsnijderslaan,De Meern,Weg
0344300000000479,6380,Houtstraat,Utrecht,Weg
0344300000002254,17927,Houtwerf,Vleuten,Weg
0344300000001145,18535,Hoveniersbrug,Utrecht,Kunstwerk
0344300000000480,6390,Hoveniersstraat,Utrecht,Weg
0344300000002479,6400,Hovenstraat,Utrecht,Weg
0344300000001680,3930,Hubert Duyfhuysstraat,Utrecht,Weg
0344300000000481,12460,Hubert Pootstraat,Utrecht,Weg
0344300000002480,6410,Hudsondreef,Utrecht,Weg
0344300000000482,6420,Huetlaan,Utrecht,Weg
0344300000000483,5300,Hugo de Grootstraat,Utrecht,Weg
0344300000001785,6428,Huis te Veenweg,Utrecht,Weg
0344300000003486,6426,Huis te Vleutenbaan,Vleuten,Weg
0344300000002481,6430,Huis te Vlietlaan,Utrecht,Weg
0344300000000484,6440,Huis te Zuylenlaan,Utrecht,Weg
0344300000003376,6450,Huis ten Boschlaan,Utrecht,Weg
0344300000000485,6460,Huize de Geerlaan,Utrecht,Weg
0344300000000486,6470,Huizingalaan,Utrecht,Weg
0344300000002482,6480,Hulststraat,Utrecht,Weg
0344300000000487,6490,Humberdreef,Utrecht,Weg
0344300000001356,6510,Hunzestraat,Utrecht,Weg
0344300000000488,6530,Huurweerstraat,Utrecht,Weg
0344300000001509,6540,Huygensstraat,Utrecht,Weg
0344300000002483,6550,Hyacintstraat,Utrecht,Weg
0344300000001510,6570,Hyperonenweg,Utrecht,Weg
0344300000002141,6575,Hysophof,Utrecht,Weg
0344300000002484,6580,Ibisdreef,Utrecht,Weg
0344300000003713,6583,Ida Mariapad,Vleuten,Weg
0344300000003714,6585,Ida Mariapad,De Meern,Weg
0344300000000491,6582,Idenburghof,Utrecht,Weg
0344300000000492,6584,Idenburgstraat,Utrecht,Weg
0344300000003866,25028,Ien Dalessingel,Utrecht,Weg
0344300000001300,6590,Iepstraat,Utrecht,Weg
0344300000003473,18749,IJlandsche wetering,Utrecht,Water
0344300000002953,17745,IJsheiligen,De Meern,Weg
0344300000003463,18750,IJssel Wetering,Utrecht,Water
0344300000001877,17746,IJsselmonde,De Meern,Weg
0344300000000490,17260,IJsselsteinlaan,Utrecht,Weg
0344300000001299,17270,IJsselstraat,Utrecht,Weg
0344300000002358,17275,IJsvogelhof,Utrecht,Weg
0344300000003741,17273,IJzerdraadpad,Utrecht,Weg
0344300000001890,17274,IJzervarensingel,Vleuten,Weg
0344300000002485,6600,Ikarosdreef,Utrecht,Weg
0344300000001876,17744,Imkerspad,De Meern,Weg
0344300000002060,6612,Impalastraat,Utrecht,Weg
0344300000001893,2129,Ina Boudier-Bakkerhof,Utrecht,Weg
0344300000000493,2130,Ina Boudier-Bakkerlaan,Utrecht,Weg
0344300000002486,6614,Incadreef,Utrecht,Weg
0344300000000494,6620,Indusdreef,Utrecht,Weg
0344300000001207,18706,Industriehaven,Utrecht,Water
0344300000001146,18536,Industriehavenbrug,Utrecht,Kunstwerk
0344300000000495,6640,Ingen Houszstraat,Utrecht,Weg
0344300000001949,6641,Inktzwamsingel,Vleuten,Weg
0344300000002697,1461,Irving Berlinhof,Utrecht,Weg
0344300000003710,6656,Isidoruspad,Vleuten,Weg
0344300000002487,6657,Isotopenweg,Utrecht,Weg
0344300000000496,6660,Israëlslaan,Utrecht,Weg
0344300000000497,6670,Ivoordreef,Utrecht,Weg
0344300000003559,6673,Ivoorzwamhof,Vleuten,Weg
0344300000001950,6672,Ivoorzwamplaats,Vleuten,Weg
0344300000003546,6675,Ivoorzwamsingel,Vleuten,Weg
0344300000003485,11065,Ivor Novellostraat,Utrecht,Weg
0344300000003090,17928,J C Bloemstraat,Vleuten,Weg
0344300000002488,7495,J. Kinkerstraat,Utrecht,Weg
0344300000000499,6680,Jaagpad,Utrecht,Weg
0344300000002489,3957,Jaap Edendreef,Utrecht,Weg
