"streetname";"place";"Type"
"Anjelierstraat";"Utrecht";"Road"
"Ankaradreef";"Utrecht";"Road"
"Anna Blamanstraat";"Utrecht";"Road"
"Anna Boleyndreef";"Utrecht";"Road"
"Anna Jacominaplaat";"De Meern";"Road"
"Anna Maria van Schurmanstraat";"Utrecht";"Road"
"Anna Swellengrebelhaghe";"Utrecht";"Road"
"Anna van Bossehaghe";"Utrecht";"Road"
"Anna van Burendreef";"Utrecht";"Road"
"Anna van Saksendreef";"Utrecht";"Road"
"Annastraat";"Utrecht";"Road"
"Anne Frankplein";"Utrecht";"Road"
"Annie M.G. Schmidtstraat";"Utrecht";"Road"
"Annie Romeinhaghe";"Utrecht";"Road"
"Annie Salomonsstraat";"Utrecht";"Road"
"Annie van Hattumhaghe";"Utrecht";"Road"
"Annie van Hattumkade";"Utrecht";"Road"
"Anthoniedijk";"Utrecht";"Road"
"Antillen";"Utrecht";"Road"
"Antilopedreef";"Utrecht";"Road"
"Anton Geesinkstraat";"Utrecht";"Road"
"Anton Koolhaasstraat";"Utrecht";"Road"
"Anton Pieckhof";"Utrecht";"Road"
"Anton Rooskenshof";"Utrecht";"Road"
"Anton van Duinkerkenlaan";"De Meern";"Road"
"Antoninus Pius";"De Meern";"Road"
"Antonio Morohof";"Vleuten";"Road"
"Antonius Matthaeuslaan";"Utrecht";"Road"
"Antoniushof";"Utrecht";"Road"
"Apennijnen";"Utrecht";"Road"
"Aphroditedreef";"Utrecht";"Road"
"Apollodreef";"Utrecht";"Road"
"Appaloosastraat";"Utrecht";"Road"
"Appelstraat";"Utrecht";"Road"
"Aquamarijnlaan";"Utrecht";"Road"
"A.R. Falckstraat";"Utrecht";"Road"
"Arabelladreef";"Utrecht";"Road"
"Archemerberg";"De Meern";"Road"
"Archeologiepark";"Utrecht";"Rural area"
"Archimedeslaan";"Utrecht";"Road"
"Archimedesviaduct";"Utrecht";"Art"
"Ardennen";"Utrecht";"Road"
"Argentiniëdreef";"Utrecht";"Road"
"Argonautendreef";"Utrecht";"Road"
"Argusvlinder";"Utrecht";"Road"
"Ariadnedreef";"Utrecht";"Road"
"Ariënslaan";"Utrecht";"Road"
"Arizonadreef";"Utrecht";"Road"
"Arkansasdreef";"Utrecht";"Road"
"Arkenspoort";"Utrecht";"Road"
"Arne";"De Meern";"Road"
"Arnodreef";"Utrecht";"Road"
"Arnoldus Rotterdamstraat";"Utrecht";"Road"
"Arthur Sullivanhof";"Utrecht";"Road"
"Arthur van Schendelstraat";"Utrecht";"Road"
"Arubadreef";"Utrecht";"Road"
"Asselijnstraat";"Utrecht";"Road"
"Asserlaan";"Utrecht";"Road"
"Asterstraat";"Utrecht";"Road"
"Atalantahof";"Utrecht";"Road"
"Athenestraat";"Utrecht";"Road"
"Atlasdreef";"Utrecht";"Road"
"Atoomweg";"Utrecht";"Road"
"Attleeplantsoen";"Utrecht";"Road"
"Aucklands";"Utrecht";"Road"
"Augusto Sandinostraat";"Utrecht";"Road"
"Augustusweg";"De Meern";"Road"
"Aureliahof";"Utrecht";"Road"
"Auriollaan";"Utrecht";"Road"
"Aurorastraat";"Utrecht";"Road"
"Austerlitz";"Vleuten";"Road"
"Austerlitzplaats";"Vleuten";"Road"
"Australiëlaan";"Utrecht";"Road"
"Averkamplaan";"Utrecht";"Road"
"Avitusweg";"De Meern";"Road"
"Avondrood";"De Meern";"Road"
"Aymaradreef";"Utrecht";"Road"
"Azaleastraat";"Utrecht";"Road"
"Aziëlaan";"Utrecht";"Road"
"Azoren";"Utrecht";"Road"
"Baanstraat";"Utrecht";"Road"
"Baarsstraat";"Utrecht";"Road"
"Baden-Powellweg";"Utrecht";"Road"
"Badstraat";"Utrecht";"Road"
"Bagdaddreef";"Utrecht";"Road"
"Bahamadreef";"Utrecht";"Road"
"Bakemastraat";"Utrecht";"Road"
"Bakerlaan";"De Meern";"Road"
"Bakhuizen van den Brinkstraat";"Utrecht";"Road"
"Bakkerbrug";"Utrecht";"Art"
"Bakkerstraat";"Utrecht";"Road"
"Balderikstraat";"Utrecht";"Road"
"Balearen";"Utrecht";"Road"
"Balijebrug";"Utrecht";"Art"
"Balijelaan";"Utrecht";"Road"
"Balistraat";"Utrecht";"Road"
"Balkan";"Utrecht";"Road"
"Balkstraat";"Utrecht";"Road"
"Baltimoredreef";"Utrecht";"Road"
"Bandoengstraat";"Utrecht";"Road"
"Bangkokdreef";"Utrecht";"Road"
"Bankaplein";"Utrecht";"Road"
"Bankastraat";"Utrecht";"Road"
"Bankstraat";"Utrecht";"Road"
"Bantamstraat";"Utrecht";"Road"
"Bantoedreef";"Utrecht";"Road"
"Barkasstraat";"Utrecht";"Road"
"Barnsteenlaan";"Utrecht";"Road"
"Baron van Heemstrastraat";"Utrecht";"Road"
"Baronie";"Utrecht";"Road"
"Baronpeerlaan";"Vleuten";"Road"
"Barthold Entesstraat";"Utrecht";"Road"
"Bartholomeïbrug";"Utrecht";"Art"
"Bartóklaan";"Utrecht";"Road"
"Bartolomeo Diazlaan";"Utrecht";"Road"
"Basilicumstraat";"Utrecht";"Road"
"Bastionweg";"Utrecht";"Road"
"Bataviastraat";"Utrecht";"Road"
"Batjanhof";"Utrecht";"Road"
"Battutalaan";"Utrecht";"Road"
"Bazuinhof";"Utrecht";"Road"
"Beatrixpark";"Utrecht";"Rural area"
"Beaufort";"De Meern";"Road"
"Beefland";"De Meern";"Road"
"Beekstraat";"Utrecht";"Road"
"Beeldentuinlaan";"Vleuten";"Road"
"Beeldhouwersdijk";"Utrecht";"Road"
"Beemdgrassingel";"Vleuten";"Road"
"Beerschoten";"Vleuten";"Road"
"Beerthuizenplantsoen";"Utrecht";"Road"
"Beerzestraat";"Utrecht";"Road"
"Beethovenlaan";"Utrecht";"Road"
"Beethovenplein";"Utrecht";"Road"
"Begijnehof";"Utrecht";"Road"
"Begijnekade";"Utrecht";"Road"
"Begijnesteeg";"Utrecht";"Road"
"Begoniastraat";"Utrecht";"Road"
"Beiroetdreef";"Utrecht";"Road"
"Bekerzwamsingel";"Vleuten";"Road"
"Bekkeringhof";"Utrecht";"Road"
"Bekkerstraat";"Utrecht";"Road"
"Belcampostraat";"Utrecht";"Road"
"Belgradostraat";"Utrecht";"Road"
"Bellamystraat";"Utrecht";"Road"
"Belleperenlaan";"Vleuten";"Road"
"Belo Horizontedreef";"Utrecht";"Road"
"Bemuurde Weerd O.Z.";"Utrecht";"Road"
"Bemuurde Weerd W.Z.";"Utrecht";"Road"
