"streetname";"place";"Type"
"Cremerplein";"Utrecht";"Road"
"Cremerstraat";"Utrecht";"Road"
"Croeselaan";"Utrecht";"Road"
"Croesestraat";"Utrecht";"Road"
"Cromwijcklaan";"Utrecht";"Road"
"Crouweldijk";"Utrecht";"Road"
"Cubadreef";"Utrecht";"Road"
"Cupidodreef";"Utrecht";"Road"
"Curaçaostraat";"Utrecht";"Road"
"Curielaan";"Vleuten";"Road"
"Cuypersplantsoen";"Utrecht";"Road"
"Cypergrashof";"Vleuten";"Road"
"Cypresplaats";"Utrecht";"Road"
"Da Costakade";"Utrecht";"Road"
"Daalseplein";"Utrecht";"Road"
"Daalsesingel";"Utrecht";"Road"
"Daalsetunnel";"Utrecht";"Road"
"Daalseweg";"Utrecht";"Road"
"Daalseweghof";"Utrecht";"Road"
"Daalstraat";"Utrecht";"Road"
"Dadelstraat";"Utrecht";"Road"
"Daelwijcklaan";"Utrecht";"Road"
"Daendelsstraat";"Utrecht";"Road"
"Dahliastraat";"Utrecht";"Road"
"Dallasdreef";"Utrecht";"Road"
"Daltonlaan";"Utrecht";"Road"
"Damascusdreef";"Utrecht";"Road"
"Dampkring";"De Meern";"Road"
"Damraklaan";"Utrecht";"Road"
"Damstraat";"Utrecht";"Road"
"Damzigt";"De Meern";"Road"
"Danangdreef";"Utrecht";"Road"
"Dantelaan";"Utrecht";"Road"
"Darwindreef";"Utrecht";"Road"
"Dassenburcht";"Vleuten";"Road"
"Dauw";"De Meern";"Road"
"Dave Brubeckstraat";"Utrecht";"Road"
"David Ben Goerionstraat";"Utrecht";"Road"
"David van Mollembrug";"Utrecht";"Art"
"David van Mollemstraat";"Utrecht";"Road"
"De Bazelstraat";"Utrecht";"Road"
"De Blieckstraat";"Utrecht";"Road"
"De Boeijelaan";"Utrecht";"Road"
"De Bom";"Haarzuilens";"Road"
"De Brauwlaan";"Utrecht";"Road"
"De Charmantedreef";"Utrecht";"Road"
"De Dompelaar";"De Meern";"Road"
"De Gasperilaan";"Utrecht";"Road"
"De Geer";"Vleuten";"Road"
"De Grauwert";"Vleuten";"Road"
"De Heijcop";"Vleuten";"Water"
"De Heldinnenlaan";"Utrecht";"Road"
"De Kloplaan";"Utrecht";"Road"
"De Kriek";"Vleuten";"Road"
"De Lessepsstraat";"Utrecht";"Road"
"De Louterlaan";"Utrecht";"Road"
"De Meernbrug";"Utrecht";"Art"
"De Milan Viscontilaan";"De Meern";"Road"
"De Milan Viscontipark";"De Meern";"Rural area"
"De Munnikplein";"Utrecht";"Road"
"De Nes";"Vleuten";"Road"
"De Paddehof";"Vleuten";"Road"
"De Paddenaar";"Vleuten";"Road"
"De Paltz";"Vleuten";"Road"
"De Pottegieter";"Vleuten";"Road"
"De Reit";"Vleuten";"Road"
"De Rijpstraat";"Utrecht";"Road"
"De Roylaan";"Utrecht";"Road"
"De Ruiterberg";"Vleuten";"Road"
"De Ruyterstraat";"De Meern";"Road"
"De Savornin Lohmanstraat";"Utrecht";"Road"
"De Sitterlaan";"Utrecht";"Road"
"De Sporeplein";"Vleuten";"Road"
"De Sporesingel";"Vleuten";"Road"
"De Swaan";"Vleuten";"Road"
"De Tol";"Vleuten";"Road"
"De Vischkom";"Vleuten";"Road"
"De Vlasakkers";"Vleuten";"Road"
"De Vooysplantsoen";"Utrecht";"Road"
"De Vuursche";"Vleuten";"Road"
"De Wadden";"Utrecht";"Road"
"De Wel";"Vleuten";"Road"
"De Wetstraat";"Utrecht";"Road"
"De Wierslaan";"Utrecht";"Road"
"De Zilveren Schaats";"Utrecht";"Water"
"Debussystraat";"Utrecht";"Road"
"Decimalaan";"Utrecht";"Road"
"Deeneplaat";"De Meern";"Road"
"Deken Roesstraat";"Utrecht";"Road"
"Dekhuyzenstraat";"Utrecht";"Road"
"Deliuslaan";"Utrecht";"Road"
"Deltastraat";"Utrecht";"Road"
"Demkaweg";"Utrecht";"Road"
"Den Brielplein";"Utrecht";"Road"
"Den Brielstraat";"Utrecht";"Road"
"Den Hamstraat";"Vleuten";"Road"
"Den Hoet";"Utrecht";"Road"
"Dennenstraat";"Utrecht";"Road"
"Dennewitjeshof";"Utrecht";"Road"
"Denverdreef";"Utrecht";"Road"
"Derde Oosterparklaan";"Utrecht";"Road"
"Derde Westerparklaan";"Utrecht";"Road"
"Detmoldbrug";"Utrecht";"Art"
"Detmoldstraat";"Utrecht";"Road"
"Detroitdreef";"Utrecht";"Road"
"Diaconessenstraat";"Utrecht";"Road"
"Diamantweg";"Utrecht";"Road"
"Dianadreef";"Utrecht";"Road"
"Dichtersbaan";"Utrecht";"Road"
"Dichtersbrug";"Utrecht";"Art"
"Dichtersplein";"Utrecht";"Road"
"Dick Brunasingel";"Utrecht";"Road"
"Dickenslaan";"Utrecht";"Road"
"Dickensplaats";"Utrecht";"Road"
"Dieselweg";"Utrecht";"Road"
"Diezestraat";"Utrecht";"Road"
"Dijkstraat";"Utrecht";"Road"
"Dillenburgstraat";"Utrecht";"Road"
"Dillestraat";"Utrecht";"Road"
"Dinkelstraat";"Utrecht";"Road"
"Dintel";"De Meern";"Road"
"Dirck Hoetweg";"Utrecht";"Road"
"Dirck van Zuylenstraat";"Utrecht";"Road"
"Dirk Wittelaan";"Utrecht";"Road"
"Dirkje Mariastraat";"Utrecht";"Road"
"Distelstraat";"Utrecht";"Road"
"Distelvlinder";"Utrecht";"Road"
"Dodt van Flensburglaan";"Utrecht";"Road"
"Doelenstraat";"Utrecht";"Road"
"Does";"De Meern";"Road"
"Dokter Fizaanplantsoen";"Vleuten";"Road"
"Dokter Fizaanplantsoen";"Vleuten";"Rural area"
"Dokter Oolderslaan";"Vleuten";"Road"
"Dokter Schuursplantsoen";"Vleuten";"Rural area"
"Dokter Schuursplantsoen";"Vleuten";"Road"
"Dollardstraat";"Utrecht";"Road"
"Dolomieten";"Utrecht";"Road"
"Dommelstraat";"Utrecht";"Road"
"Dommeringdreef";"Utrecht";"Road"
"Domplein";"Utrecht";"Road"
"Domstraat";"Utrecht";"Road"
"Don Carlosdreef";"Utrecht";"Road"
"Donaudreef";"Utrecht";"Road"
"Dongestraat";"Utrecht";"Road"
"Donkeregaard";"Utrecht";"Road"
"Donkerstraat";"Utrecht";"Road"
"Donsvlinder";"Utrecht";"Road"
"Doornburglaan";"Utrecht";"Road"
"Doornstraat";"Utrecht";"Road"
"Dopplerhof";"Utrecht";"Road"
"Dorbeendreef";"Utrecht";"Road"
"Dorpeldijk";"Vleuten";"Road"
"Dorpsplein";"Vleuten";"Road"
"Dorpsstraat";"Vleuten";"Road"
"Dorstige Harthof";"Utrecht";"Road"
"Dorstige Hartsteeg";"Utrecht";"Road"
"Dotterbloemkade";"Vleuten";"Road"
"Douwes Dekkerstraat";"Utrecht";"Road"
"Doyennéperenlaan";"Vleuten";"Road"
"Dr. Ariënslaan";"De Meern";"Road"
"Dr. Dentzlaan";"Utrecht";"Road"
"Dr. H. Th. s' Jacoblaan";"Utrecht";"Road"
"Dr. H.J. Lovinklaan";"Utrecht";"Road"
"Dr. J.P. Thijsselaan";"Utrecht";"Road"
"Dr. M.A. Tellegenlaan";"Utrecht";"Road"
"Dr. Max Euwestraat";"Utrecht";"Road"
"Dr. P. van Hoeklaan";"Utrecht";"Road"
"Dr. Schaepmanplein";"Utrecht";"Road"
"Dr. Schaepmanstraat";"Utrecht";"Road"
"Dr. van Dugterenpad";"Vleuten";"Road"
"Draadnagelweg";"Utrecht";"Road"
"Draaiweg";"Utrecht";"Road"
"Dragonstraat";"Utrecht";"Road"
"Drakenburgstraat";"Utrecht";"Road"
"Drecht";"De Meern";"Road"
"Dressuurpark";"Utrecht";"Rural area"
"Driebergsebos";"Vleuten";"Road"
"Driebergsebosplaats";"Vleuten";"Road"
"Drieharingstraat";"Utrecht";"Road"
"Drielenborchdreef";"Utrecht";"Road"
"Drift";"Utrecht";"Road"
"Drift";"Utrecht";"Water"
"Driftbrug";"Utrecht";"Art"
"Drommedarislaan";"Utrecht";"Road"
"Droomtuinlaan";"Vleuten";"Road"
"Druifstraat";"Utrecht";"Road"
"Drususlaan";"De Meern";"Road"
"Ds. Abernathylaan";"Utrecht";"Road"
"Ds. Martin Luther Kinglaan";"Utrecht";"Road"
"Dublinstraat";"Utrecht";"Road"
"Dudoksingel";"Utrecht";"Road"
"Duifstraat";"Utrecht";"Road"
"Duikerstraat";"Utrecht";"Road"
"Duizendknooplaan";"Vleuten";"Road"
"Duke Ellingtonstraat";"Utrecht";"Road"
"Duurstedelaan";"Utrecht";"Road"
"Dwergbieslaan";"Vleuten";"Road"
"Dwergbloemsingel";"Vleuten";"Road"
"Ebrodreef";"Utrecht";"Road"
"Eclipshof";"Utrecht";"Road"
"Economieweg";"Utrecht";"Road"
"Ed Hoorniklaan";"De Meern";"Road"
"Edisonstraat";"Utrecht";"Road"
"Edmond Audranstraat";"Utrecht";"Road"
"Edmontondreef";"Utrecht";"Road"
"Edmund Eyslerstraat";"Utrecht";"Road"
"Edmund Nicklaan";"Vleuten";"Road"
"Eduard Künnekehof";"Utrecht";"Road"
"Eduard Verkadelaan";"Utrecht";"Road"
"Eelderdiephof";"Utrecht";"Road"
"Eemstraat";"Utrecht";"Road"
"Eendagsbloemlaan";"Vleuten";"Road"
"Eendrachtlaan";"Utrecht";"Road"
"Eendstraat";"Utrecht";"Road"
"Eerste Oosterparklaan";"Utrecht";"Road"
"Eerste Westerparklaan";"Utrecht";"Road"
"Egelantierstraat";"Utrecht";"Road"
"Egginklaan";"Utrecht";"Road"
"Eifel";"Utrecht";"Road"
"Eikslaan";"Haarzuilens";"Road"
"Eikslaan";"Vleuten";"Road"
"Eikstraat";"Haarzuilens";"Road"
"Eikstraat";"Utrecht";"Road"
"Einsteindreef";"Utrecht";"Road"
"Einthovendreef";"Utrecht";"Road"
"Einthovendreef-noord";"Utrecht";"Road"
"Einthovendreef-zuid";"Utrecht";"Road"
"Eisenhowerlaan";"Utrecht";"Road"
"El Salvadordreef";"Utrecht";"Road"
"Elandplein";"Utrecht";"Road"
"Elbedreef";"Utrecht";"Road"
"Elektronweg";"Utrecht";"Road"
"Elgarlaan";"Utrecht";"Road"
"Eligenhof";"Utrecht";"Road"
"Eligenstraat";"Utrecht";"Road"
"Elisabeth Brugsmahaghe";"Utrecht";"Road"
"Ella Fitzgeraldplein";"Utrecht";"Road"
"Elmarelaan";"Utrecht";"Road"
"Else van den Bankade";"Utrecht";"Road"
"Elsenburglaan";"Utrecht";"Road"
"Elsstraat";"Utrecht";"Road"
"Elzas";"Utrecht";"Road"
"Emile Hullebroeckstraat";"Utrecht";"Road"
"Emmalaan";"Utrecht";"Road"
"Emmalaan";"Vleuten";"Road"
"Emmerich Kálmánlaan";"Utrecht";"Road"
"Emmikkerboslaan";"De Meern";"Road"
"Emmy van Lokhorststraat";"Utrecht";"Road"
"Energiehaven";"Utrecht";"Water"
"Energieweg";"Utrecht";"Road"
"Engelen van Pijlsweertstraat";"Utrecht";"Road"
"Engelsetuinlaan";"Vleuten";"Road"
"Engelsmanplaat";"Utrecht";"Road"
"Enghlaan";"Vleuten";"Road"
"Enghlaan";"Utrecht";"Road"
"Enghwetering";"Utrecht";"Water"
"Enghwetering";"Vleuten";"Water"
"Enny Vredelaan";"Utrecht";"Road"
"Enthofstraat";"Utrecht";"Road"
"Equatorplein";"Utrecht";"Road"
"Erasmuslaan";"Utrecht";"Road"
"Errol Garnerstraat";"Utrecht";"Road"
"Eschersingel";"Utrecht";"Road"
"Esdoornlaan";"De Meern";"Road"
"Esdoornstraat";"Utrecht";"Road"
"Esmoreitdreef";"Utrecht";"Road"
"Esther de Boer-van Rijklaan";"Utrecht";"Road"
"Etna";"Utrecht";"Road"
"Euclideslaan";"Utrecht";"Road"
"Eufraatdreef";"Utrecht";"Road"
"Europalaan";"Utrecht";"Road"
"Europaplein";"Utrecht";"Road"
"Europaweg";"Vleuten";"Road"
"Euterpedreef";"Utrecht";"Road"
"Evenaar";"De Meern";"Road"
"Everard Foeckstraat";"Utrecht";"Road"
"Everard Meijsterlaan";"Utrecht";"Road"
"Everard Zoudenbalchstraat";"Utrecht";"Road"
"Evert Cornelislaan";"Utrecht";"Road"
"Evertsenstraat";"De Meern";"Road"
"Eyckenstein";"Vleuten";"Road"
"Eyckensteinhof";"Vleuten";"Road"
"Eyckensteinplaats";"Vleuten";"Road"
"Eykmanlaan";"Utrecht";"Road"
"Eykmanplein";"Utrecht";"Road"
"F. Bordewijkstraat";"Utrecht";"Road"
"F. Koolhovenstraat";"Utrecht";"Road"
"Fabriekstraat";"Utrecht";"Road"
"Fahrenheit";"De Meern";"Road"
"Fahrenheitlaan";"Utrecht";"Road"
"Falklanddreef";"Utrecht";"Road"
"Fanny Blankers-Koendreef";"Utrecht";"Road"
"Faraodreef";"Utrecht";"Road"
"Faustdreef";"Utrecht";"Road"
"Fazendadreef";"Utrecht";"Road"
"F.C. Dondersstraat";"Utrecht";"Road"
"Fenny de Soet-Ten Boschdreef";"Utrecht";"Road"
"Fentener van Vlissingenkade";"Utrecht";"Road"
"Ferdinand Bolstraat";"Utrecht";"Road"
"Fermiweg";"Utrecht";"Road"
"Fernandezlaan";"Utrecht";"Road"
"Fideliodreef";"Utrecht";"Road"
"Fie Carelsenlaan";"Utrecht";"Road"
"Fien de la Marlaan";"Utrecht";"Road"
"Filipijnen";"Utrecht";"Road"
"Fivelingo";"Utrecht";"Road"
"Flamingostraat";"Utrecht";"Road"
"Flavusplaats";"De Meern";"Road"
"Fleminghof";"Utrecht";"Road"
"Fleminglaan";"Vleuten";"Road"
"Fletcher Hendersonstraat";"Utrecht";"Road"
"Flevolanderstraat";"Utrecht";"Road"
"Flieruilensteeg";"Utrecht";"Road"
"Floraweg";"Utrecht";"Road"
"Florence Nightingalelaan";"Utrecht";"Road"
"Floresstraat";"Utrecht";"Road"
"Floridadreef";"Utrecht";"Road"
"Floris Heermalebrug";"Utrecht";"Art"
"Floris Heermalestraat";"Utrecht";"Road"
"Fockstraat";"Utrecht";"Road"
"Foelieweg";"Utrecht";"Road"
"Föhn";"De Meern";"Road"
"Forelstraat";"Utrecht";"Road"
"Forstmanstraat";"Utrecht";"Road"
"Fortlaan";"Utrecht";"Road"
"Fortunadreef";"Utrecht";"Road"
"Fortweg";"Utrecht";"Road"
"Framboosstraat";"Utrecht";"Road"
"Franciscusdreef";"Utrecht";"Road"
"Franklinstraat";"Utrecht";"Road"
"Frans Halsstraat";"Utrecht";"Road"
"Fransestraat";"Utrecht";"Road"
"Fransetuinlaan";"Vleuten";"Road"
"Franz Lehársingel";"Utrecht";"Road"
"Franz Schubertstraat";"Utrecht";"Road"
"Franz von Suppéhof";"Utrecht";"Road"
"Franz-Lisztplantsoen";"Utrecht";"Road"
"Fred Raymondhof";"Utrecht";"Road"
"Fred Raymondpad";"Utrecht";"Road"
"Frederik Hendrikstraat";"Utrecht";"Road"
"Frederik Loewestraat";"Utrecht";"Road"
"Frederik van Eedenstraat";"Utrecht";"Road"
"Frederik van Eedenstraat";"Vleuten";"Road"
"Frederikastraat";"Utrecht";"Road"
"Fregatstraat";"Utrecht";"Road"
"Frits Coerslaan";"Utrecht";"Road"
"Fritz Kreislerhof";"Utrecht";"Road"
"Frontoweg";"De Meern";"Road"
"Fruinplantsoen";"Utrecht";"Road"
"Fruitstraat";"Utrecht";"Road"
"Fultonstraat";"Utrecht";"Road"
"Furkabaan";"Utrecht";"Road"
"Furkaplateau";"Utrecht";"Road"
"Furkatunnel";"Utrecht";"Art"
"Fuuthof";"Utrecht";"Road"
"Gaag";"De Meern";"Road"
"Gaardbrug";"Utrecht";"Art"
"Gaasterland";"Utrecht";"Road"
"Gabriël Metsustraat";"Utrecht";"Road"
"Gabriëllaan";"Utrecht";"Road"
"Gageldijk";"Utrecht";"Road"
"Galápagos";"Utrecht";"Road"
"Galecopperbrug";"Utrecht";"Art"
"Galeslootstraat";"Utrecht";"Road"
"Galgenraklaan";"Utrecht";"Road"
"Galgenwaardsepad";"Utrecht";"Road"
"Galileïlaan";"Utrecht";"Road"
"Galjoenstraat";"Utrecht";"Road"
"Galvanistraat";"Utrecht";"Road"
"Gambiadreef";"Utrecht";"Road"
"Gandhidreef";"Utrecht";"Road"
"Gandhiplein";"Utrecht";"Road"
"Gangesdreef";"Utrecht";"Road"
"Gansenhoeflaan";"Utrecht";"Road"
"Gansstraat";"Utrecht";"Road"
"Ganzenhoedsterlaan";"De Meern";"Road"
"Ganzenmarkt";"Utrecht";"Road"
"Garmt Stuivelingsingel";"De Meern";"Road"
"Gasthuismolenbrug";"Utrecht";"Art"
"Gasthuisstraat";"Utrecht";"Road"
"Gazellestraat";"Utrecht";"Road"
"Geallieerdenlaan";"Utrecht";"Road"
"Geelwortelweg";"Utrecht";"Road"
"Geertebolwerk";"Utrecht";"Road"
"Geertebrug";"Utrecht";"Art"
"Geertekerkhof";"Utrecht";"Road"
"Geertestraat";"Utrecht";"Road"
"Gees Linnebankplantsoen";"Utrecht";"Rural area"
"Geeuw";"De Meern";"Road"
"Geinplantsoen";"Utrecht";"Road"
"Gelderlantlaan";"Utrecht";"Road"
"Gelderpolder";"De Meern";"Road"
"Gele Irislaan";"Vleuten";"Road"
"Geleenstraat";"Utrecht";"Road"
"Gemberweg";"Utrecht";"Road"
"Gemsstraat";"Utrecht";"Road"
"Generalperenlaan";"Vleuten";"Road"
"Genèvelaan";"Utrecht";"Road"
"Genialisweg";"De Meern";"Road"
"Georg Jarnostraat";"Utrecht";"Road"
"George Cohanhof";"Utrecht";"Road"
"Georges Braquehof";"Utrecht";"Road"
"Geraniumstraat";"Utrecht";"Road"
"Gerard den Brabanderlaan";"De Meern";"Road"
"Gerard Doustraat";"Utrecht";"Road"
"Gerard Noodtstraat";"Utrecht";"Road"
"Gerard Revestraat";"Utrecht";"Road"
"Gerbrandystraat";"Utrecht";"Road"
"Gerhardstraat";"Utrecht";"Road"
"Germanicusweg";"De Meern";"Road"
"Gerretsonlaan";"Utrecht";"Road"
"Gerrit Achterberglaan";"De Meern";"Road"
"Gerrit Rietveldhof";"Utrecht";"Road"
"Gershwinlaan";"Utrecht";"Road"
"Gessel";"De Meern";"Road"
"Geulstraat";"Utrecht";"Road"
"Geuzenplantsoen";"Utrecht";"Road"
"Geuzenstraat";"Utrecht";"Road"
"Ghanadreef";"Utrecht";"Road"
"Giessenplein";"Utrecht";"Road"
"Gietershof";"Utrecht";"Road"
"Gietijzerstraat";"Utrecht";"Road"
"Gijsbrecht van Walenborchstraat";"Utrecht";"Road"
"Gildbrug";"Utrecht";"Art"
"Gildenkwartier";"Utrecht";"Road"
"Gildentraverse";"Utrecht";"Road"
"Gildstraat";"Utrecht";"Road"
"Giraffedreef";"Utrecht";"Road"
"Gisbert Bromlaan";"Utrecht";"Road"
"Glastuinbouwsingel";"Utrecht";"Road"
"Glazenierslaan";"De Meern";"Road"
"Glenn Millerpad";"Utrecht";"Road"
"Globebloemlaan";"Vleuten";"Road"
"Gloriantdreef";"Utrecht";"Road"
"Godebaldkwartier";"Utrecht";"Road"
"Godfried Bomansstraat";"Utrecht";"Road"
"Goedestraat";"Utrecht";"Road"
"Goeman Borgesiuslaan";"Utrecht";"Road"
"Goeree";"Utrecht";"Road"
"Goethebrug";"Utrecht";"Art"
"Goethelaan";"Utrecht";"Road"
"Gooisebrug";"De Meern";"Art"
"Gouden Koetslaan";"Vleuten";"Road"
"Gouderaklaan";"Utrecht";"Road"
"Goudesteinlaan";"Utrecht";"Road"
"Goudsbloemstraat";"Utrecht";"Road"
"Gouvernantelaan";"De Meern";"Road"
"Gouwestraat";"Utrecht";"Road"
"Govert Flinckstraat";"Utrecht";"Road"
"Graadt van Roggenweg";"Utrecht";"Road"
"Graaf Adolfstraat";"Utrecht";"Road"
"Graafschap";"Utrecht";"Road"
"Graanstraat";"Utrecht";"Road"
"Grasstraat";"Utrecht";"Road"
"Grauwaartsingel";"Utrecht";"Road"
"Grauwaartviaduct";"Utrecht";"Art"
"Grave van Solmsstraat";"Utrecht";"Road"
"Gravelpad";"Utrecht";"Road"
"Grebbeberglaan";"Utrecht";"Road"
"Grebbestraat";"Utrecht";"Road"
"Grenadadreef";"Utrecht";"Road"
"Gresnigtstraat";"Utrecht";"Road"
"Grevelingenstraat";"Utrecht";"Road"
"Griendhoeve";"Vleuten";"Road"
"Grietbrug";"Utrecht";"Art"
"Grietmansraklaan";"Utrecht";"Road"
"Grietstraat";"Utrecht";"Road"
"Griffioenlaan";"Utrecht";"Road"
"Griftbrug";"Utrecht";"Art"
"Grifthoek";"Utrecht";"Road"
"Griftkade";"Utrecht";"Road"
"Griftpark";"Utrecht";"Rural area"
"Griftstraat";"Utrecht";"Road"
"Groen van Prinstererstraat";"Utrecht";"Road"
"Groene Draecklaan";"Vleuten";"Road"
"Groene Draecksingel";"Vleuten";"Road"
"Groenedijk";"De Meern";"Road"
"Groenedijk";"Utrecht";"Road"
"Groenendaalstraat";"Utrecht";"Road"
"Groenestraat";"Utrecht";"Road"
"Groeneweg";"Utrecht";"Road"
"Groenewoudsedijk";"Utrecht";"Road"
"Groenmarktstraat";"Utrecht";"Road"
"Groot Zandveld";"Utrecht";"Rural area"
"Groote Waard";"De Meern";"Road"
"Grootmeesterplein";"Utrecht";"Road"
"Grotelseboslaan";"Vleuten";"Road"
"Grote-Trekdreef";"Utrecht";"Road"
"Gruppelboomgaard";"Vleuten";"Road"
"Gruttersdijk";"Utrecht";"Road"
"Gruttershof";"Utrecht";"Road"
"Gruttostraat";"Utrecht";"Road"
"Guatemaladreef";"Utrecht";"Road"
"Gulden Hoeve";"Vleuten";"Road"
"Gulperberg";"De Meern";"Road"
"Gustav Mahlerstraat";"Utrecht";"Road"
"Guus Vleugelplantsoen";"Utrecht";"Road"
"Guyanadreef";"Utrecht";"Road"
"H. Copijnlaan";"Utrecht";"Road"
"H. Diemerstraat";"Utrecht";"Road"
"H. Wijnmalenstraat";"Utrecht";"Road"
"Haagstraat";"Utrecht";"Road"
"Haagwindelaan";"Vleuten";"Road"
"Haarlaan";"Haarzuilens";"Road"
"Haarlemmerhoutdreef";"Utrecht";"Road"
"Haarlerberg";"De Meern";"Road"
"Haarmansstraat";"Utrecht";"Road"
"Haarpad";"Haarzuilens";"Road"
"Haarpad";"Vleuten";"Road"
"Haarrijn";"Haarzuilens";"Water"
"Haarrijnse Rading";"Vleuten";"Road"
"Haarrijnse Rading";"Utrecht";"Road"
"Haarrijnseplas";"Haarzuilens";"Water"
"Habib Bourguibastraat";"Utrecht";"Road"
"Haflingerstraat";"Utrecht";"Road"
"Hageheldhof";"Utrecht";"Road"
"Haifadreef";"Utrecht";"Road"
"Haïtidreef";"Utrecht";"Road"
"Halmaherastraat";"Utrecht";"Road"
"Hamakerlaan";"Utrecht";"Road"
"Hamburgerbrug";"Utrecht";"Art"
"Hamburgerstraat";"Utrecht";"Road"
"Hamlaan";"Vleuten";"Road"
"Hammarskjöldhof";"Utrecht";"Road"
"Hamsteeg";"Utrecht";"Road"
"Händelstraat";"Utrecht";"Road"
"Hanekampstraat";"Vleuten";"Road"
"Hanengeschrei";"Utrecht";"Road"
"Hannie Schafthaghe";"Utrecht";"Road"
"Hannie Schaftsingel";"Utrecht";"Road"
"Hannolaan";"Utrecht";"Road"
"Hanoidreef";"Utrecht";"Road"
"Hanrathstraat";"Utrecht";"Road"
"Hans Lodeizenlaan";"De Meern";"Road"
"Hardebollenstraat";"Utrecht";"Road"
"Hardenbroek";"Vleuten";"Road"
"Harnaslaan";"Utrecht";"Road"
"Haroekoeplein";"Utrecht";"Road"
"Harpstraat";"Utrecht";"Road"
"Harry Banninkstraat";"Utrecht";"Road"
"Harteveldlaan";"Utrecht";"Road"
"Hartingstraat";"Utrecht";"Road"
"Hartogstraat";"Utrecht";"Road"
"Hartsteeg thans Loeff Berchmakerstraat";"Utrecht";"Road"
"Harvardlaan";"Utrecht";"Road"
"Harz";"Utrecht";"Road"
"Hasebroekstraat";"Utrecht";"Road"
"Havanadreef";"Utrecht";"Road"
"Havenweg";"Utrecht";"Road"
"Haverstraat";"Utrecht";"Road"
"Havikbrug";"Utrecht";"Art"
"Havikstraat";"Utrecht";"Road"
"Hazenhof";"Vleuten";"Road"
"Hebriden";"Utrecht";"Road"
"Heemskerkstraat";"Utrecht";"Road"
"Heemstedelaan";"Utrecht";"Road"
"Heemtuinlaan";"Vleuten";"Road"
"Heenplaat";"De Meern";"Road"
"Heggestraat";"Haarzuilens";"Road"
"Heidelberglaan";"Utrecht";"Road"
"Heidestein";"Vleuten";"Road"
"Heidesteinhof";"Vleuten";"Road"
"Heidesteinplaats";"Vleuten";"Road"
"Heidetuinlaan";"Vleuten";"Road"
"Heijcopper middelwetering";"Utrecht";"Water"
"Heijcopper wetering";"De Meern";"Water"
"Heijcopperkade";"Utrecht";"Road"
"Heijcopperkade";"De Meern";"Road"
"Heijermansstraat";"Utrecht";"Road"
"Heinrich Bertéstraat";"Utrecht";"Road"
"Heinstmaat";"Vleuten";"Road"
"Heivlinder";"Utrecht";"Road"
"Hekelsteeg";"Utrecht";"Road"
"Hekmeijerstraat";"Utrecht";"Road"
"Heksenberg";"De Meern";"Road"
"Hektordreef";"Utrecht";"Road"
"Heldammersingel";"De Meern";"Road"
"Helenahoeve";"Vleuten";"Road"
"Hélène Swarthplantsoen";"De Meern";"Road"
"Hellendoornseberg";"Utrecht";"Road"
"Helling";"Utrecht";"Road"
"Helmbloemlaan";"Vleuten";"Road"
"Helmkruid";"De Meern";"Road"
"Helmstraat";"Utrecht";"Road"
"Helsinkilaan";"Utrecht";"Road"
"Hemdsmouwsteeg";"Utrecht";"Road"
"Hemelseberg";"De Meern";"Road"
"Hemelvuur";"De Meern";"Road"
"Hendrick de Keyserstraat";"Utrecht";"Road"
"Hendrik Andriessenbrug";"Utrecht";"Art"
"Hendrik Marsmanlaan";"De Meern";"Road"
"Hendrik Tollensstraat";"Utrecht";"Road"
"Hendrik Werkmanhof";"Utrecht";"Road"
"Hendrika van Tussenbroeklaan";"Utrecht";"Road"
"Hendrika van Tussenbroekplantsoen";"Utrecht";"Road"
"Henegouwen";"Utrecht";"Road"
"Hengeveldstraat";"Utrecht";"Road"
"Hennepstraat";"Utrecht";"Road"
"Hennie Oliemullerbrug";"Utrecht";"Art"
"Henny Knipschildplantsoen";"Utrecht";"Rural area"
"Henri Dunantlaan";"Vleuten";"Road"
"Henri Dunantplein";"Utrecht";"Road"
"Henri Matissehof";"Utrecht";"Road"
"Henriëtte Roland Holststraat";"Utrecht";"Road"
"Henriëttedreef";"Utrecht";"Road"
"Heradreef";"Utrecht";"Road"
"Herautsingel";"Utrecht";"Road"
"Herbert Kawanstraat";"Utrecht";"Road"
"Herculesbrug";"Utrecht";"Art"
"Herculeslaan";"Utrecht";"Road"
"Herculesplein";"Utrecht";"Road"
"Herderlaan";"Utrecht";"Road"
"Herderplein";"Utrecht";"Road"
"Herenbrug";"Utrecht";"Art"
"Herenstraat";"Utrecht";"Road"
"Herenweg";"Utrecht";"Road"
"Herfst";"De Meern";"Road"
"Herfsttuinlaan";"Vleuten";"Road"
"Heringastraat";"Utrecht";"Road"
"Herman de Manstraat";"Utrecht";"Road"
"Herman Gorterstraat";"Utrecht";"Road"
"Herman Heijermansstraat";"Vleuten";"Road"
"Herman Modedstraat";"Utrecht";"Road"
"Herman Saftlevenstraat";"Utrecht";"Road"
"Hermannus Elconiusstraat";"Utrecht";"Road"
"Hermelijnvlinderdijk";"Utrecht";"Road"
"Hermesdreef";"Utrecht";"Road"
"Herodotuslaan";"Utrecht";"Road"
"Hertehof";"Utrecht";"Road"
"Hertestraat";"Utrecht";"Road"
"Hertogswetering";"Utrecht";"Road"
"Hervéstraat";"Utrecht";"Road"
"Het Heihuis";"Vleuten";"Road"
